,bin,time(ms),color change & not first & no update & correct,color change & not first & update & correct,
314919309,100,2497,3.426,3.365,
314919309,101,2522,3.4278,3.3661,
314919309,102,2547,3.4249,3.3509,
314919309,103,2572,3.4193,3.3444,
314919309,104,2598,3.4245,3.3527,
314919309,105,2623,3.4307,
314919309,106,2648,3.4355,
314919309,107,2673,3.422,
314919309,108,2698,3.4299,
314919309,109,2724,3.4363,
314919309,110,2749,3.4316,
314919309,111,2774,3.4072,
314919309,112,2799,3.4051,
314919309,113,2825,3.4045,
314919309,114,2850,3.4203,
314919309,115,2875,3.4196,
318657061,1,0,3.103,3.1272,
318657061,2,25,3.1015,3.1379,
318657061,3,50,3.0946,3.145,
318657061,4,76,3.1016,3.1511,
318657061,5,101,3.1017,3.1419,
318657061,6,126,3.1064,3.1453,
318657061,7,151,3.1088,3.1433,
318657061,8,176,3.1224,3.1432,
318657061,9,202,3.1179,3.1452,
318657061,10,227,3.1187,3.145,
318657061,11,252,3.1232,3.1424,
318657061,12,277,3.1252,3.1427,
318657061,13,303,3.129,3.1415,
318657061,14,328,3.1262,3.1457,
318657061,15,353,3.1218,3.1386,
318657061,16,378,3.1283,3.137,
318657061,17,403,3.1266,3.1314,
318657061,18,429,3.1229,3.1339,
318657061,19,454,3.1248,3.1349,
318657061,20,479,3.1158,3.1281,
318657061,21,504,3.105,3.1345,
318657061,22,529,3.1116,3.1347,
318657061,23,555,3.1064,3.1225,
318657061,24,580,3.1089,3.1301,
318657061,25,605,3.1144,3.1289,
318657061,26,630,3.1116,3.123,
318657061,27,656,3.1055,3.1297,
318657061,28,681,3.1031,3.1258,
318657061,29,706,3.1023,3.1152,
318657061,30,731,3.1107,3.1181,
318657061,31,756,3.108,3.1242,
318657061,32,782,3.1154,3.1218,
318657061,33,807,3.1122,3.1184,
318657061,34,832,3.1017,3.1267,
318657061,35,857,3.1208,3.1069,
318657061,36,882,3.1155,3.109,
318657061,37,908,3.114,3.1178,
318657061,38,933,3.1183,3.1089,
318657061,39,958,3.1112,3.1069,
318657061,40,983,3.1223,3.1194,
318657061,41,1008,3.1204,3.1074,
318657061,42,1034,3.1283,3.1188,
318657061,43,1059,3.1383,3.1081,
318657061,44,1084,3.1376,3.1039,
318657061,45,1109,3.1299,3.106,
318657061,46,1135,3.1328,3.1088,
318657061,47,1160,3.1419,3.1113,
318657061,48,1185,3.1376,3.1083,
318657061,49,1210,3.14,3.1014,
318657061,50,1235,3.1442,3.1191,
318657061,51,1261,3.1398,3.1078,
318657061,52,1286,3.1455,3.1106,
318657061,53,1311,3.1405,3.1066,
318657061,54,1336,3.1464,3.1035,
318657061,55,1361,3.1388,3.1134,
318657061,56,1387,3.1294,3.1098,
318657061,57,1412,3.1322,3.1021,
318657061,58,1437,3.1398,3.1081,
318657061,59,1462,3.1253,3.1068,
318657061,60,1488,3.132,3.0962,
318657061,61,1513,3.1345,3.096,
318657061,62,1538,3.1185,3.1036,
318657061,63,1563,3.1225,3.0799,
318657061,64,1588,3.1116,3.0824,
318657061,65,1614,3.1169,3.0823,
318657061,66,1639,3.1118,3.0947,
318657061,67,1664,3.1169,3.0858,
318657061,68,1689,3.1029,3.0821,
318657061,69,1714,3.0994,3.0786,
318657061,70,1740,3.1065,3.0698,
318657061,71,1765,3.113,3.0865,
318657061,72,1790,3.1145,3.08,
318657061,73,1815,3.1132,3.0783,
318657061,74,1840,3.1048,3.077,
318657061,75,1866,3.1045,3.0753,
318657061,76,1891,3.1055,3.091,
318657061,77,1916,3.1037,3.0844,
318657061,78,1941,3.0958,3.0805,
318657061,79,1967,3.0978,3.0769,
318657061,80,1992,3.101,3.0903,
318657061,81,2017,3.0987,3.0853,
318657061,82,2042,3.0961,3.0905,
318657061,83,2067,3.0878,3.0934,
318657061,84,2093,3.0909,3.0892,
318657061,85,2118,3.098,3.0918,
318657061,86,2143,3.0911,3.0979,
318657061,87,2168,3.0922,3.0756,
318657061,88,2193,3.0968,3.0938,
318657061,89,2219,3.0949,3.0912,
318657061,90,2244,3.0923,3.0801,
318657061,91,2269,3.0956,3.082,
318657061,92,2294,3.0958,3.0836,
318657061,93,2319,3.1017,3.089,
318657061,94,2345,3.0972,3.0946,
318657061,95,2370,3.101,3.0781,
318657061,96,2395,3.1054,3.0906,
318657061,97,2420,3.1003,3.0889,
318657061,98,2446,3.1061,3.0835,
318657061,99,2471,3.106,3.0891,
318657061,100,2496,3.1042,3.0759,
318657061,101,2521,3.1091,3.0791,
318657061,102,2546,3.1128,3.0759,
318657061,103,2572,3.104,3.0761,
318657061,104,2597,3.0896,3.0814,
318657061,105,2622,3.0976,3.0605,
318657061,106,2647,3.0962,3.0647,
318657061,107,2672,3.0955,3.0691,
318657061,108,2698,3.0917,3.0717,
318657061,109,2723,3.0927,3.0658,
318657061,110,2748,3.1044,3.071,
318657061,111,2773,3.1075,3.0604,
318657061,112,2799,3.1076,3.0741,
318657061,113,2824,3.113,3.0716,
318657061,114,2849,3.1091,3.0652,
318657061,115,2874,3.1085,3.0707,
318657061,116,2899,3.113,
318657061,117,2925,3.1127,
318657061,118,2950,3.1156,
318657061,119,2975,3.1342,
324124114,1,0,3.1938,3.2083,
324124114,2,25,3.1731,3.2052,
324124114,3,51,3.1887,3.2032,
324124114,4,76,3.1871,3.1993,
324124114,5,101,3.185,3.2059,
324124114,6,126,3.1828,3.2061,
324124114,7,152,3.2013,3.2137,
324124114,8,177,3.1815,3.2087,
324124114,9,202,3.1915,3.2253,
324124114,10,227,3.1986,3.2253,
324124114,11,253,3.2035,3.2089,
324124114,12,278,3.2105,3.2041,
324124114,13,303,3.2064,3.2027,
324124114,14,328,3.2046,3.2207,
324124114,15,354,3.2117,3.2088,
324124114,16,379,3.218,3.2102,
324124114,17,404,3.2216,3.2167,
324124114,18,429,3.2198,3.2139,
324124114,19,455,3.2274,3.2143,
324124114,20,480,3.2196,3.2196,
324124114,21,505,3.2228,3.2102,
324124114,22,530,3.2177,3.2177,
324124114,23,556,3.2113,3.2135,
324124114,24,581,3.2373,3.219,
324124114,25,606,3.2329,3.2257,
324124114,26,632,3.2348,3.214,
324124114,27,657,3.2399,3.2069,
324124114,28,682,3.2383,3.2108,
324124114,29,707,3.2381,3.2259,
324124114,30,733,3.2364,3.2268,
324124114,31,758,3.2438,3.2259,
324124114,32,783,3.2433,3.2321,
324124114,33,808,3.246,3.2396,
324124114,34,834,3.2458,3.2252,
324124114,35,859,3.2444,3.2395,
324124114,36,884,3.258,3.2179,
324124114,37,909,3.238,3.2586,
324124114,38,935,3.2459,3.2428,
324124114,39,960,3.235,3.2317,
324124114,40,985,3.2484,3.2361,
324124114,41,1010,3.2355,3.2251,
324124114,42,1036,3.2376,3.2264,
324124114,43,1061,3.2345,3.2213,
324124114,44,1086,3.2326,3.2315,
324124114,45,1111,3.2429,3.2397,
324124114,46,1137,3.2476,3.2305,
324124114,47,1162,3.2448,3.24,
324124114,48,1187,3.2462,3.2365,
324124114,49,1213,3.2467,3.2249,
324124114,50,1238,3.2554,3.2112,
324124114,51,1263,3.2508,3.2169,
324124114,52,1288,3.2565,3.2149,
324124114,53,1314,3.2588,3.2116,
324124114,54,1339,3.2519,3.2071,
324124114,55,1364,3.2518,3.213,
324124114,56,1389,3.2519,3.2175,
324124114,57,1415,3.2478,3.2027,
324124114,58,1440,3.2606,3.21,
324124114,59,1465,3.2525,3.186,
324124114,60,1490,3.2552,3.1956,
324124114,61,1516,3.2544,3.1694,
324124114,62,1541,3.2292,3.1835,
324124114,63,1566,3.2308,3.1793,
324124114,64,1591,3.2354,3.1807,
324124114,65,1617,3.2272,3.1896,
324124114,66,1642,3.2231,3.1906,
324124114,67,1667,3.222,3.1934,
324124114,68,1692,3.215,3.1794,
324124114,69,1718,3.2076,3.1854,
324124114,70,1743,3.2125,3.1666,
324124114,71,1768,3.2072,3.1519,
324124114,72,1793,3.2219,3.1667,
324124114,73,1819,3.2235,3.1764,
324124114,74,1844,3.2216,3.1802,
324124114,75,1869,3.2141,3.181,
324124114,76,1895,3.2057,3.181,
324124114,77,1920,3.2208,3.1975,
324124114,78,1945,3.2148,3.1931,
324124114,79,1970,3.2167,3.2065,
324124114,80,1996,3.2249,3.2057,
324124114,81,2021,3.2145,3.2056,
324124114,82,2046,3.231,3.2084,
324124114,83,2071,3.2233,3.2181,
324124114,84,2097,3.2233,3.2292,
324124114,85,2122,3.204,3.2062,
324124114,86,2147,3.2104,3.2122,
324124114,87,2172,3.2302,3.2314,
324124114,88,2198,3.2396,3.2237,
324124114,89,2223,3.2361,3.2273,
324124114,90,2248,3.2418,3.2168,
324124114,91,2273,3.2303,3.2317,
324124114,92,2299,3.2365,3.2253,
324124114,93,2324,3.2402,3.2266,
324124114,94,2349,3.2592,3.2413,
324124114,95,2374,3.2632,
324124114,96,2400,3.2461,
324124114,97,2425,3.2647,
